127.0.0.1 - - [04/Jul/2025:20:07:19 +0800] "GET /api/domain/?domain=vulbox.com&page=1&size=100 HTTP/1.0" 200 50 "-" "python-requests/2.32.4"
127.0.0.1 - - [04/Jul/2025:20:07:53 +0800] "POST /api/task/ HTTP/1.0" 200 50 "-" "python-requests/2.32.4"
127.0.0.1 - - [04/Jul/2025:20:08:15 +0800] "POST /api/user/login HTTP/1.0" 200 129 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:08:15 +0800] "GET /api/task/?page=1&size=10 HTTP/1.0" 200 3067 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:08:27 +0800] "GET /api/task/?page=1&size=10 HTTP/1.0" 200 3067 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:08:36 +0800] "POST /api/task/delete/ HTTP/1.0" 200 87 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:08:36 +0800] "GET /api/task/?page=1&size=10 HTTP/1.0" 200 1569 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:08:38 +0800] "POST /api/task/delete/ HTTP/1.0" 200 87 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:08:38 +0800] "GET /api/task/?page=1&size=10 HTTP/1.0" 200 75 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:08:39 +0800] "GET /api/task/?page=1&size=10 HTTP/1.0" 200 75 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:09:05 +0800] "POST /api/task/ HTTP/1.0" 200 50 "-" "python-requests/2.32.4"
127.0.0.1 - - [04/Jul/2025:20:09:12 +0800] "GET /api/task/?page=1&size=10 HTTP/1.0" 200 75 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:09:24 +0800] "GET /api/task/?page=1&size=10 HTTP/1.0" 200 75 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:09:28 +0800] "GET /api/site/?page=1&size=10&ts=1751630968015 HTTP/1.0" 200 75 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:09:29 +0800] "GET /api/scheduler/?page=1&size=10 HTTP/1.0" 200 75 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:09:30 +0800] "GET /api/task/?page=1&size=10 HTTP/1.0" 200 75 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:09:31 +0800] "GET /api/asset_scope/?page=1&size=10 HTTP/1.0" 200 75 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jul/2025:20:09:32 +0800] "GET /api/task/?page=1&size=10 HTTP/1.0" 200 75 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Jul/2025:17:01:54 +0800] "POST /api/task/ HTTP/1.0" 200 769 "-" "python-requests/2.32.4"
127.0.0.1 - - [22/Jul/2025:17:02:32 +0800] "GET /api/task/?name=scan-baidu.com&size=1 HTTP/1.0" 200 916 "-" "python-requests/2.32.4"
127.0.0.1 - - [22/Jul/2025:17:12:50 +0800] "GET /api/task/?name=scan-baidu.com&size=1 HTTP/1.0" 200 1083 "-" "python-requests/2.32.4"
127.0.0.1 - - [22/Jul/2025:17:13:58 +0800] "GET /api/task/?page=1&size=10 HTTP/1.0" 200 1027 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
